temperatureMax,temperatureMaxTime,windBearing,icon,dewPoint,temperatureMinTime,cloudCover,windSpeed,pressure,apparentTemperatureMinTime,apparentTemperatureHigh,precipType,visibility,humidity,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureMax,uvIndex,time,sunsetTime,temperatureLow,temperatureMin,temperatureHigh,sunriseTime,temperatureHighTime,uvIndexTime,summary,temperatureLowTime,apparentTemperatureMin,apparentTemperatureMaxTime,apparentTemperatureLowTime,moonPhase
11.31,2011-11-08 00:00:00,101,fog,9.12,2011-11-08 09:00:00,0.83,2.4,1014.61,2011-11-08 08:00:00,10.57,rain,4.31,0.92,2011-11-08 16:00:00,9.11,11.31,1.0,2011-11-08 00:00:00,2011-11-08 16:24:02,9.73,9.37,10.57,2011-11-08 07:06:56,2011-11-08 16:00:00,2011-11-08 10:00:00,Foggy in the morning.,2011-11-08 21:00:00,7.85,2011-11-08 00:00:00,2011-11-08 21:00:00,0.43
9.11,2011-12-04 13:00:00,254,partly-cloudy-day,4.87,2011-12-04 23:00:00,0.36,4.31,1001.15,2011-12-04 23:00:00,6.66,rain,13.36,0.82,2011-12-04 14:00:00,-1.69,6.66,1.0,2011-12-04 00:00:00,2011-12-04 15:55:09,2.81,4.69,9.11,2011-12-04 07:48:50,2011-12-04 13:00:00,2011-12-04 10:00:00,Partly cloudy until evening.,2011-12-05 08:00:00,1.03,2011-12-04 14:00:00,2011-12-05 08:00:00,0.31
4.68,2011-12-16 00:00:00,315,partly-cloudy-day,1.6,2011-12-16 08:00:00,0.7,3.71,988.1,2011-12-16 10:00:00,0.23,rain,10.96,0.88,2011-12-16 15:00:00,-3.56,0.99,1.0,2011-12-16 00:00:00,2011-12-16 15:52:56,0.24,1.8,4.53,2011-12-16 08:01:35,2011-12-16 15:00:00,2011-12-16 11:00:00,Mostly cloudy throughout the day.,2011-12-17 08:00:00,-2.65,2011-12-16 00:00:00,2011-12-17 08:00:00,0.7
15.57,2011-11-01 15:00:00,208,partly-cloudy-day,10.13,2011-11-01 22:00:00,0.36,2.45,1009.46,2011-11-01 22:00:00,15.57,rain,12.68,0.84,2011-11-01 15:00:00,7.33,15.57,1.0,2011-11-01 00:00:00,2011-11-01 16:36:03,8.88,9.68,15.57,2011-11-01 06:54:29,2011-11-01 15:00:00,2011-11-01 10:00:00,Partly cloudy until evening.,2011-11-02 03:00:00,9.01,2011-11-01 15:00:00,2011-11-02 03:00:00,0.21
12.91,2011-12-26 13:00:00,236,partly-cloudy-day,8.88,2011-12-26 21:00:00,0.81,5.44,1033.14,2011-12-26 21:00:00,12.91,rain,13.23,0.84,2011-12-26 13:00:00,6.91,12.91,1.0,2011-12-26 00:00:00,2011-12-26 15:57:13,9.79,9.82,12.91,2011-12-26 08:06:52,2011-12-26 13:00:00,2011-12-26 12:00:00,Mostly cloudy throughout the day.,2011-12-27 08:00:00,6.91,2011-12-26 13:00:00,2011-12-26 21:00:00,0.07
12.58,2011-11-28 23:00:00,190,partly-cloudy-night,4.39,2011-11-28 05:00:00,0.56,2.34,1022.8,2011-11-28 05:00:00,10.27,rain,11.84,0.86,2011-11-28 19:00:00,10.27,12.58,1.0,2011-11-28 00:00:00,2011-11-28 15:59:10,10.27,1.31,10.27,2011-11-28 07:40:24,2011-11-28 19:00:00,2011-11-28 11:00:00,Mostly cloudy throughout the day.,2011-11-28 19:00:00,1.31,2011-11-28 23:00:00,2011-11-28 19:00:00,0.12
7.68,2011-12-09 13:00:00,255,partly-cloudy-day,0.41,2011-12-09 23:00:00,0.15,5.65,1010.6,2011-12-09 23:00:00,3.99,rain,12.83,0.71,2011-12-09 13:00:00,-3.42,3.99,1.0,2011-12-09 00:00:00,2011-12-09 15:53:16,-0.13,2.03,7.68,2011-12-09 07:54:54,2011-12-09 13:00:00,2011-12-09 10:00:00,"Partly cloudy starting in the afternoon, continuing until evening.",2011-12-10 07:00:00,-1.42,2011-12-09 13:00:00,2011-12-10 07:00:00,0.46
6.87,2011-12-05 13:00:00,254,partly-cloudy-day,0.84,2011-12-05 08:00:00,0.2,5.57,1006.01,2011-12-05 08:00:00,3.13,rain,13.0,0.77,2011-12-05 15:00:00,-1.61,3.13,1.0,2011-12-05 00:00:00,2011-12-05 15:54:40,2.68,2.81,6.87,2011-12-05 07:50:07,2011-12-05 13:00:00,2011-12-05 10:00:00,Partly cloudy until evening.,2011-12-06 01:00:00,-1.69,2011-12-05 15:00:00,2011-12-06 05:00:00,0.34
12.93,2011-11-24 12:00:00,204,partly-cloudy-night,8.56,2011-11-24 02:00:00,0.41,4.04,1027.22,2011-11-24 02:00:00,12.93,rain,10.64,0.89,2011-11-24 12:00:00,7.3,12.93,1.0,2011-11-24 00:00:00,2011-11-24 16:02:48,9.71,8.56,12.93,2011-11-24 07:34:14,2011-11-24 12:00:00,2011-11-24 10:00:00,Partly cloudy throughout the day.,2011-11-24 19:00:00,7.01,2011-11-24 12:00:00,2011-11-24 19:00:00,0.97
14.44,2011-11-17 13:00:00,190,fog,8.83,2011-11-17 03:00:00,0.52,2.23,1018.32,2011-11-17 21:00:00,14.44,rain,8.1,0.88,2011-11-17 13:00:00,7.54,14.44,1.0,2011-11-17 00:00:00,2011-11-17 16:10:53,9.06,8.54,14.44,2011-11-17 07:22:40,2011-11-17 13:00:00,2011-11-17 10:00:00,Foggy in the morning.,2011-11-18 05:00:00,7.54,2011-11-17 13:00:00,2011-11-17 21:00:00,0.71
12.08,2011-12-13 02:00:00,233,wind,3.62,2011-12-13 21:00:00,0.42,7.44,990.27,2011-12-13 21:00:00,4.51,rain,12.55,0.75,2011-12-13 07:00:00,0.22,12.08,1.0,2011-12-13 00:00:00,2011-12-13 15:52:44,4.16,4.54,8.48,2011-12-13 07:59:00,2011-12-13 07:00:00,2011-12-13 11:00:00,Breezy in the morning and partly cloudy throughout the day.,2011-12-14 06:00:00,0.22,2011-12-13 02:00:00,2011-12-13 21:00:00,0.59
12.14,2011-12-22 14:00:00,257,partly-cloudy-night,8.07,2011-12-22 07:00:00,0.38,4.31,1024.71,2011-12-22 07:00:00,12.14,rain,12.99,0.87,2011-12-22 14:00:00,10.35,12.14,1.0,2011-12-22 00:00:00,2011-12-22 15:54:50,10.35,8.08,12.14,2011-12-22 08:05:24,2011-12-22 14:00:00,2011-12-22 11:00:00,Partly cloudy throughout the day.,2011-12-22 19:00:00,5.37,2011-12-22 14:00:00,2011-12-22 19:00:00,0.92
6.91,2011-12-06 14:00:00,245,partly-cloudy-day,2.15,2011-12-06 01:00:00,0.34,4.79,1007.32,2011-12-06 05:00:00,3.77,rain,13.15,0.83,2011-12-06 16:00:00,1.9,3.77,1.0,2011-12-06 00:00:00,2011-12-06 15:54:14,5.16,2.68,6.91,2011-12-06 07:51:22,2011-12-06 14:00:00,2011-12-06 11:00:00,Partly cloudy until evening.,2011-12-06 22:00:00,-1.61,2011-12-06 16:00:00,2011-12-06 22:00:00,0.37
9.02,2011-12-07 12:00:00,263,wind,1.79,2011-12-07 23:00:00,0.29,7.06,1008.76,2011-12-07 22:00:00,4.98,rain,13.12,0.68,2011-12-07 13:00:00,0.63,5.14,1.0,2011-12-07 00:00:00,2011-12-07 15:53:51,4.27,4.91,9.02,2011-12-07 07:52:35,2011-12-07 12:00:00,2011-12-07 10:00:00,Partly cloudy throughout the day and breezy until afternoon.,2011-12-08 02:00:00,0.94,2011-12-07 04:00:00,2011-12-08 00:00:00,0.4
10.69,2011-11-21 13:00:00,103,fog,8.23,2011-11-21 02:00:00,0.7,2.62,1015.07,2011-11-21 01:00:00,10.69,rain,2.82,0.95,2011-11-21 13:00:00,7.99,10.69,1.0,2011-11-21 00:00:00,2011-11-21 16:06:01,9.39,7.1,10.69,2011-11-21 07:29:22,2011-11-21 13:00:00,2011-11-21 11:00:00,Foggy starting in the evening.,2011-11-21 23:00:00,5.95,2011-11-21 13:00:00,2011-11-21 21:00:00,0.86
12.89,2011-12-08 18:00:00,234,wind,5.96,2011-12-08 02:00:00,0.53,7.01,1010.84,2011-12-08 00:00:00,12.89,rain,12.59,0.81,2011-12-08 18:00:00,-0.37,12.89,1.0,2011-12-08 00:00:00,2011-12-08 15:53:32,3.76,4.27,12.89,2011-12-08 07:53:46,2011-12-08 18:00:00,2011-12-08 12:00:00,Breezy and mostly cloudy throughout the day.,2011-12-09 08:00:00,0.63,2011-12-08 18:00:00,2011-12-09 05:00:00,0.43
11.85,2011-11-06 14:00:00,1,partly-cloudy-day,7.48,2011-11-06 05:00:00,0.77,4.77,1021.96,2011-11-06 06:00:00,11.85,rain,11.76,0.81,2011-11-06 14:00:00,10.17,11.85,1.0,2011-11-06 00:00:00,2011-11-06 16:27:20,10.17,9.46,11.85,2011-11-06 07:03:23,2011-11-06 14:00:00,2011-11-06 10:00:00,Mostly cloudy throughout the day.,2011-11-07 00:00:00,7.03,2011-11-06 14:00:00,2011-11-07 00:00:00,0.37
13.03,2011-11-25 05:00:00,243,partly-cloudy-day,7.24,2011-11-25 23:00:00,0.48,5.02,1024.47,2011-11-25 23:00:00,12.27,rain,12.38,0.79,2011-11-25 12:00:00,4.69,13.03,1.0,2011-11-25 00:00:00,2011-11-25 16:01:49,7.01,7.46,12.27,2011-11-25 07:35:49,2011-11-25 12:00:00,2011-11-25 10:00:00,Partly cloudy throughout the day.,2011-11-26 01:00:00,4.84,2011-11-25 05:00:00,2011-11-26 05:00:00,0.01
12.15,2011-12-01 07:00:00,225,partly-cloudy-day,6.87,2011-12-01 23:00:00,0.57,2.57,1007.12,2011-12-01 23:00:00,12.15,rain,12.15,0.82,2011-12-01 07:00:00,0.46,12.15,1.0,2011-12-01 00:00:00,2011-12-01 15:56:56,2.56,6.08,12.15,2011-12-01 07:44:46,2011-12-01 07:00:00,2011-12-01 10:00:00,Partly cloudy throughout the day.,2011-12-02 07:00:00,5.29,2011-12-01 07:00:00,2011-12-02 07:00:00,0.22
11.98,2011-12-25 23:00:00,237,partly-cloudy-day,7.9,2011-12-25 00:00:00,0.88,5.81,1028.45,2011-12-25 00:00:00,11.54,rain,13.99,0.83,2011-12-25 14:00:00,11.52,11.98,0.0,2011-12-25 00:00:00,2011-12-25 15:56:32,11.52,8.67,11.54,2011-12-25 08:06:35,2011-12-25 14:00:00,2011-12-25 00:00:00,Mostly cloudy throughout the day.,2011-12-25 19:00:00,5.93,2011-12-25 23:00:00,2011-12-25 19:00:00,0.03
10.27,2011-12-30 23:00:00,260,partly-cloudy-day,4.12,2011-12-30 07:00:00,0.56,3.71,1016.85,2011-12-30 07:00:00,4.92,rain,11.06,0.84,2011-12-30 15:00:00,4.06,10.27,1.0,2011-12-30 00:00:00,2011-12-30 16:00:26,6.77,5.33,6.99,2011-12-30 08:07:27,2011-12-30 13:00:00,2011-12-30 11:00:00,Mostly cloudy throughout the day.,2011-12-30 19:00:00,1.71,2011-12-30 23:00:00,2011-12-30 19:00:00,0.2
15.54,2011-11-04 11:00:00,179,fog,12.03,2011-11-04 23:00:00,0.5,2.62,995.54,2011-11-04 23:00:00,15.54,rain,10.69,0.91,2011-11-04 11:00:00,10.17,15.54,1.0,2011-11-04 00:00:00,2011-11-04 16:30:44,10.17,11.53,15.54,2011-11-04 06:59:49,2011-11-04 11:00:00,2011-11-04 10:00:00,Foggy overnight.,2011-11-05 02:00:00,11.53,2011-11-04 11:00:00,2011-11-05 02:00:00,0.31
13.71,2011-11-10 15:00:00,98,fog,10.44,2011-11-10 04:00:00,0.34,2.66,1017.41,2011-11-10 04:00:00,13.71,rain,6.41,0.92,2011-11-10 15:00:00,6.48,13.71,1.0,2011-11-10 00:00:00,2011-11-10 16:20:52,8.85,10.26,13.71,2011-11-10 07:10:29,2011-11-10 15:00:00,2011-11-10 10:00:00,Foggy in the morning.,2011-11-11 07:00:00,10.26,2011-11-10 15:00:00,2011-11-11 07:00:00,0.49
15.0,2011-11-09 13:00:00,143,partly-cloudy-day,10.09,2011-11-09 00:00:00,0.57,2.74,1015.59,2011-11-09 00:00:00,15.0,rain,9.85,0.9,2011-11-09 13:00:00,10.26,15.0,1.0,2011-11-09 00:00:00,2011-11-09 16:22:26,10.26,10.1,15.0,2011-11-09 07:08:43,2011-11-09 13:00:00,2011-11-09 10:00:00,Partly cloudy throughout the day.,2011-11-10 04:00:00,10.1,2011-11-09 13:00:00,2011-11-10 04:00:00,0.46
17.41,2011-11-03 14:00:00,154,partly-cloudy-day,13.39,2011-11-03 21:00:00,0.52,3.99,993.4,2011-11-03 21:00:00,17.41,rain,12.15,0.89,2011-11-03 14:00:00,12.52,17.41,1.0,2011-11-03 00:00:00,2011-11-03 16:32:29,12.52,12.79,17.41,2011-11-03 06:58:03,2011-11-03 14:00:00,2011-11-03 10:00:00,Partly cloudy throughout the day.,2011-11-04 07:00:00,12.79,2011-11-03 14:00:00,2011-11-04 07:00:00,0.27
12.78,2011-11-07 13:00:00,26,fog,9.59,2011-11-07 00:00:00,0.82,3.9,1020.81,2011-11-07 00:00:00,12.78,rain,5.89,0.89,2011-11-07 13:00:00,7.85,12.78,1.0,2011-11-07 00:00:00,2011-11-07 16:25:40,9.67,10.17,12.78,2011-11-07 07:05:10,2011-11-07 13:00:00,2011-11-07 10:00:00,Foggy starting in the evening.,2011-11-08 08:00:00,10.17,2011-11-07 13:00:00,2011-11-08 08:00:00,0.4
10.36,2011-11-23 14:00:00,229,fog,6.29,2011-11-23 07:00:00,0.36,2.04,1027.12,2011-11-23 07:00:00,10.36,rain,8.06,0.93,2011-11-23 14:00:00,6.56,10.36,1.0,2011-11-23 00:00:00,2011-11-23 16:03:50,8.24,3.81,10.36,2011-11-23 07:32:38,2011-11-23 14:00:00,2011-11-23 10:00:00,Foggy in the morning.,2011-11-23 22:00:00,2.18,2011-11-23 14:00:00,2011-11-23 22:00:00,0.94
14.64,2011-11-18 11:00:00,168,partly-cloudy-day,9.06,2011-11-18 23:00:00,0.37,3.15,1017.97,2011-11-18 23:00:00,14.64,rain,12.55,0.87,2011-11-18 11:00:00,5.98,14.64,1.0,2011-11-18 00:00:00,2011-11-18 16:09:36,7.78,8.64,14.64,2011-11-18 07:24:22,2011-11-18 11:00:00,2011-11-18 10:00:00,Partly cloudy until evening.,2011-11-19 07:00:00,7.01,2011-11-18 11:00:00,2011-11-19 08:00:00,0.75
12.14,2011-12-21 15:00:00,266,partly-cloudy-day,8.6,2011-12-21 00:00:00,0.67,2.9,1017.91,2011-12-21 00:00:00,12.14,rain,9.41,0.94,2011-12-21 15:00:00,5.37,12.14,0.0,2011-12-21 00:00:00,2011-12-21 15:54:23,8.08,5.93,12.14,2011-12-21 08:04:54,2011-12-21 15:00:00,2011-12-21 00:00:00,Mostly cloudy throughout the day.,2011-12-22 07:00:00,3.84,2011-12-21 15:00:00,2011-12-22 07:00:00,0.88
6.64,2011-12-19 19:00:00,235,partly-cloudy-day,2.45,2011-12-19 01:00:00,0.47,2.7,1014.39,2011-12-19 02:00:00,4.02,rain,10.43,0.94,2011-12-19 19:00:00,2.27,4.02,1.0,2011-12-19 00:00:00,2011-12-19 15:53:38,5.83,-0.84,6.64,2011-12-19 08:03:43,2011-12-19 19:00:00,2011-12-19 11:00:00,Partly cloudy throughout the day.,2011-12-20 04:00:00,-3.67,2011-12-19 19:00:00,2011-12-20 08:00:00,0.81
11.19,2011-12-28 11:00:00,239,partly-cloudy-day,4.89,2011-12-28 23:00:00,0.46,6.02,1021.31,2011-12-28 21:00:00,11.19,rain,12.83,0.77,2011-12-28 11:00:00,0.98,11.19,1.0,2011-12-28 00:00:00,2011-12-28 15:58:43,5.31,5.95,11.19,2011-12-28 08:07:16,2011-12-28 11:00:00,2011-12-28 11:00:00,Partly cloudy until evening.,2011-12-29 03:00:00,1.84,2011-12-28 11:00:00,2011-12-29 03:00:00,0.13
12.57,2011-12-31 21:00:00,250,partly-cloudy-day,9.87,2011-12-31 00:00:00,0.76,5.46,1010.02,2011-12-31 00:00:00,12.17,rain,13.33,0.89,2011-12-31 14:00:00,11.9,12.57,0.0,2011-12-31 00:00:00,2011-12-31 16:01:21,11.9,10.66,12.17,2011-12-31 08:07:28,2011-12-31 14:00:00,2011-12-31 00:00:00,Mostly cloudy throughout the day.,2012-01-01 08:00:00,10.66,2011-12-31 21:00:00,2012-01-01 08:00:00,0.23
5.49,2011-12-18 14:00:00,289,partly-cloudy-day,-0.31,2011-12-18 23:00:00,0.22,3.6,1016.37,2011-12-18 06:00:00,1.98,rain,13.04,0.84,2011-12-18 14:00:00,-3.67,1.98,1.0,2011-12-18 00:00:00,2011-12-18 15:53:20,-0.84,-0.56,5.49,2011-12-18 08:03:04,2011-12-18 14:00:00,2011-12-18 12:00:00,Partly cloudy until evening.,2011-12-19 01:00:00,-4.12,2011-12-18 14:00:00,2011-12-19 02:00:00,0.77
11.36,2011-11-15 13:00:00,82,fog,6.67,2011-11-15 23:00:00,0.63,3.42,1018.53,2011-11-15 22:00:00,11.36,rain,5.39,0.87,2011-11-15 13:00:00,2.93,11.36,1.0,2011-11-15 00:00:00,2011-11-15 16:13:33,5.19,5.88,11.36,2011-11-15 07:19:13,2011-11-15 13:00:00,2011-11-15 10:00:00,Foggy in the morning.,2011-11-16 07:00:00,3.55,2011-11-15 13:00:00,2011-11-16 04:00:00,0.65
11.44,2011-12-23 04:00:00,247,partly-cloudy-day,7.08,2011-12-23 23:00:00,0.74,4.85,1017.67,2011-12-23 23:00:00,11.21,rain,12.36,0.85,2011-12-23 11:00:00,-0.51,11.44,0.0,2011-12-23 00:00:00,2011-12-23 15:55:21,3.17,5.28,11.21,2011-12-23 08:05:51,2011-12-23 11:00:00,2011-12-23 00:00:00,Mostly cloudy throughout the day.,2011-12-24 07:00:00,0.99,2011-12-23 04:00:00,2011-12-24 07:00:00,0.96
12.96,2011-11-26 14:00:00,237,wind,6.96,2011-11-26 01:00:00,0.44,5.75,1025.8,2011-11-26 05:00:00,12.96,rain,13.07,0.81,2011-11-26 14:00:00,11.59,12.96,1.0,2011-11-26 00:00:00,2011-11-26 16:00:53,11.59,7.01,12.96,2011-11-26 07:37:22,2011-11-26 14:00:00,2011-11-26 10:00:00,Mostly cloudy throughout the day and breezy overnight.,2011-11-26 23:00:00,4.69,2011-11-26 14:00:00,2011-11-26 23:00:00,0.05
13.94,2011-11-05 15:00:00,346,fog,10.96,2011-11-05 02:00:00,0.65,2.7,1007.39,2011-11-05 02:00:00,13.94,rain,4.6,0.92,2011-11-05 15:00:00,7.03,13.94,1.0,2011-11-05 00:00:00,2011-11-05 16:29:01,9.46,10.17,13.94,2011-11-05 07:01:36,2011-11-05 15:00:00,2011-11-05 10:00:00,Foggy in the morning.,2011-11-06 05:00:00,10.17,2011-11-05 15:00:00,2011-11-06 06:00:00,0.34
15.26,2011-11-12 13:00:00,122,fog,12.19,2011-11-12 23:00:00,0.78,2.5,1024.77,2011-11-12 23:00:00,15.26,rain,4.83,0.93,2011-11-12 13:00:00,10.76,15.26,1.0,2011-11-12 00:00:00,2011-11-12 16:17:51,10.76,11.56,15.26,2011-11-12 07:14:00,2011-11-12 13:00:00,2011-11-12 10:00:00,Foggy starting in the evening.,2011-11-13 07:00:00,11.56,2011-11-12 13:00:00,2011-11-13 07:00:00,0.55
6.08,2011-12-10 12:00:00,247,partly-cloudy-day,-0.34,2011-12-10 07:00:00,0.17,3.08,1015.58,2011-12-10 07:00:00,3.14,rain,12.83,0.81,2011-12-10 12:00:00,0.11,3.14,1.0,2011-12-10 00:00:00,2011-12-10 15:53:03,2.48,-0.13,6.08,2011-12-10 07:55:59,2011-12-10 12:00:00,2011-12-10 11:00:00,Partly cloudy until afternoon.,2011-12-11 01:00:00,-3.42,2011-12-10 12:00:00,2011-12-11 02:00:00,0.49
13.47,2011-11-29 14:00:00,213,wind,8.61,2011-11-29 23:00:00,0.6,6.48,1009.7,2011-11-29 23:00:00,13.47,rain,12.57,0.82,2011-11-29 14:00:00,3.34,13.47,1.0,2011-11-29 00:00:00,2011-11-29 15:58:22,6.34,6.37,13.47,2011-11-29 07:41:53,2011-11-29 14:00:00,2011-11-29 11:00:00,"Mostly cloudy until evening and breezy starting in the afternoon, continuing until evening.",2011-11-30 00:00:00,3.39,2011-11-29 14:00:00,2011-11-30 01:00:00,0.15
15.32,2011-11-13 12:00:00,90,fog,10.49,2011-11-13 23:00:00,0.56,3.81,1027.73,2011-11-13 23:00:00,15.32,rain,5.15,0.9,2011-11-13 12:00:00,6.47,15.32,1.0,2011-11-13 00:00:00,2011-11-13 16:16:23,8.16,10.23,15.32,2011-11-13 07:15:45,2011-11-13 12:00:00,2011-11-13 09:00:00,Foggy in the morning.,2011-11-14 08:00:00,10.23,2011-11-13 12:00:00,2011-11-14 07:00:00,0.58
12.93,2011-11-22 14:00:00,348,fog,9.97,2011-11-22 23:00:00,0.78,0.35,1018.38,2011-11-22 01:00:00,12.93,rain,3.35,0.94,2011-11-22 14:00:00,2.18,12.93,1.0,2011-11-22 00:00:00,2011-11-22 16:04:54,3.81,9.19,12.93,2011-11-22 07:31:01,2011-11-22 14:00:00,2011-11-22 11:00:00,Foggy until afternoon.,2011-11-23 07:00:00,8.95,2011-11-22 14:00:00,2011-11-23 07:00:00,0.9
5.92,2011-12-14 02:00:00,228,partly-cloudy-day,1.68,2011-12-14 18:00:00,0.36,4.48,994.48,2011-12-14 17:00:00,1.77,rain,13.2,0.79,2011-12-14 09:00:00,1.07,2.88,1.0,2011-12-14 00:00:00,2011-12-14 15:52:44,4.08,4.14,5.81,2011-12-14 07:59:54,2011-12-14 12:00:00,2011-12-14 11:00:00,Partly cloudy until evening.,2011-12-15 00:00:00,0.78,2011-12-14 03:00:00,2011-12-15 00:00:00,0.63
11.42,2011-12-03 10:00:00,247,partly-cloudy-day,6.58,2011-12-03 22:00:00,0.54,5.42,1003.55,2011-12-03 00:00:00,11.42,rain,12.7,0.79,2011-12-03 10:00:00,4.9,11.42,1.0,2011-12-03 00:00:00,2011-12-03 15:55:42,7.53,8.12,11.42,2011-12-03 07:47:31,2011-12-03 10:00:00,2011-12-03 11:00:00,Partly cloudy throughout the day.,2011-12-04 06:00:00,4.71,2011-12-03 10:00:00,2011-12-04 05:00:00,0.28
